         419927 function calls (406503 primitive calls) in 5.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      672    0.004    0.000    0.005    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/numeric.py:136(ones)
       25    0.004    0.000    0.086    0.003 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:65(__init__)
       70    0.004    0.000    0.022    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/patches.py:746(get_patch_transform)
     1080    0.004    0.000    0.012    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:416(pchanged)
        2    0.003    0.002    0.004    0.002 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/backends/backend_macosx.py:39(__init__)
       82    0.003    0.000    0.023    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:157(_reset_visual_defaults)
     5856    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x104ddc540}
      702    0.003    0.000    0.009    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2421(all)
     2254    0.003    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/_api/__init__.py:99(check_in_list)
       49    0.003    0.000    0.073    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:734(draw)
    144/2    0.003    0.000    0.467    0.234 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:54(draw_wrapper)
     1458    0.003    0.000    0.003    0.000 {built-in method numpy.arange}
      449    0.003    0.000    0.006    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:758(__init__)
     6822    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
       36    0.003    0.000    0.021    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/ticker.py:628(format_data_short)
      337    0.003    0.000    0.006    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2348(__init__)
      336    0.003    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/type_check.py:246(isreal)
      967    0.003    0.000    0.008    0.000 {method 'any' of 'numpy.ndarray' objects}
      162    0.003    0.000    0.019    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/operation.py:25(is_in)
       82    0.003    0.000    8.370    0.102 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/threading.py:323(wait)
      772    0.003    0.000    0.006    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:1107(_expand_aliases)
      672    0.003    0.000    0.003    0.000 {built-in method numpy.frompyfunc}
      772    0.003    0.000    0.008    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:1191(score_weight)
      971    0.003    0.000    0.007    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/fromnumeric.py:53(_wrapfunc)
      334    0.003    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1291(set_ydata)
      541    0.003    0.000    0.003    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/enum.py:726(__call__)
     2659    0.003    0.000    0.006    0.000 {built-in method _abc._abc_instancecheck}
     6357    0.003    0.000    0.003    0.000 {method 'sort' of 'list' objects}
     5261    0.003    0.000    0.003    0.000 {function RcParams.__getitem__ at 0x113cdf9c0}
       13    0.003    0.000    0.003    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      230    0.002    0.000    0.028    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1472(transform)
     2336    0.002    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:113(__init__)
       43    0.002    0.000    0.013    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:738(draw)
      751    0.002    0.000    0.007    0.000 {method 'all' of 'numpy.ndarray' objects}
      100    0.002    0.000    0.009    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:595(__init__)
      395    0.002    0.000    0.007    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:103(_stale_axes_callback)
      274    0.002    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1270(set_xdata)
      202    0.002    0.000    0.010    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:813(from_extents)
       15    0.002    0.000    0.124    0.008 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/axis.py:1270(_update_ticks)
      777    0.002    0.000    0.003    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/logging/__init__.py:1517(debug)
       42    0.002    0.000    0.007    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:666(recache)
     1432    0.002    0.000    0.002    0.000 {method 'ravel' of 'numpy.ndarray' objects}
      672    0.002    0.000    0.008    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/linalg/linalg.py:215(_assert_finite)
     1344    0.002    0.000    0.005    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1768(ravel)
      592    0.002    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:158(invalidate)
      333    0.002    0.000    0.039    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:1223(set)
      690    0.002    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/fromnumeric.py:1881(nonzero)
       46    0.002    0.000    0.033    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/text.py:915(get_window_extent)
      211    0.002    0.000    0.009    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1833(frozen)
      614    0.002    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/contextlib.py:299(helper)
      230    0.002    0.000    0.003    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2043(scale)
      325    0.002    0.000    0.008    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:2498(composite_transform_factory)
     5081    0.002    0.000    0.002    0.000 {method 'bit_length' of 'int' objects}
      443    0.002    0.000    0.039    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:1212(_internal_update)
      404    0.002    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/colors.py:268(to_rgba)
      686    0.002    0.000    0.027    0.000 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/operation.py:119(operate)
      428    0.002    0.000    0.004    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/transforms.py:1849(transform_affine)
     9575    0.002    0.000    0.002    0.000 {built-in method _operator.index}
  486/408    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     7701    0.002    0.000    0.002    0.000 {method 'getrandbits' of '_random.Random' objects}
       35    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.point_in_path}
       18    0.002    0.000    0.011    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/ticker.py:2077(_raw_ticks)
      678    0.002    0.000    0.003    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/core/shape_base.py:215(_vhstack_dispatcher)
      170    0.002    0.000    0.033    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/markers.py:306(_set_marker)
       64    0.002    0.000    0.069    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:1233(findfont)
